requirement_id,algorithm,stage,artifact_type,profile,owner,detector_kind,normative_strength,constructibility,fault_family,detector,detector_status,mode,active_action,deployable_action,strict_action,valid_pass_artifact_count,negative_artifact_count,negative_artifacts,registry_mutation_families,observed_mutation_families,uncovered_mutation_families,coverage_status
MLKEM-PRIVATE-SEED-LENGTH,ML-KEM,private-key-container/import,private-key-container,pkix-core,artifact-importer,structural,must,covered,size/shape,detector.private_key.mlkem_seed_length,implemented,deployable,block,block,block,3,1,der-mut-mlkem512-key-seed-short,private-key-choice-tag-mismatch | private-key-seed-length-long | private-key-seed-length-short,private-key-seed-length-short,private-key-choice-tag-mismatch | private-key-seed-length-long,covered-block
MLKEM-PRIVATE-EXPANDED-LENGTH,ML-KEM,private-key-container/import,private-key-container,pkix-core,artifact-importer,structural,must,covered,size/shape,detector.private_key.mlkem_expanded_length,implemented,deployable,block,block,block,3,1,der-mut-mlkem512-key-expanded-short,private-key-expanded-length-long | private-key-expanded-length-short | private-key-oid-expanded-length-mismatch,private-key-expanded-length-short,private-key-expanded-length-long | private-key-oid-expanded-length-mismatch,covered-block
MLKEM-PRIVATE-BOTH-CONSISTENCY,ML-KEM,private-key-container/import,private-key-container,pkix-core,artifact-importer,import-crypto,should,covered,inter-field-consistency,detector.private_key.mlkem_seed_expanded_consistency,implemented,deployable,block,block,block,3,2,der-mut-mlkem512-key-both-mismatch | der-mut-mlkem512-key-hash-mismatch,private-key-both-seed-expanded-mismatch,mlkem-expanded-key-hash-mismatch | private-key-both-seed-expanded-mismatch,,covered-block
MLKEM-PRIVATE-EXPANDED-HASH-CHECK,ML-KEM,private-key-container/import,private-key-container,pkix-core,artifact-importer,import-crypto,must,covered,import-validation,detector.private_key.mlkem_hash_check,implemented,deployable,block,block,block,3,1,der-mut-mlkem512-key-hash-mismatch,mlkem-expanded-key-hash-mismatch,mlkem-expanded-key-hash-mismatch,,covered-block
MLDSA-PRIVATE-SEED-LENGTH,ML-DSA,private-key-container/import,private-key-container,pkix-core,artifact-importer,structural,must,covered,size/shape,detector.private_key.mldsa_seed_length,implemented,deployable,block,block,block,4,1,der-mut-mldsa44-key-seed-short,private-key-choice-tag-mismatch | private-key-seed-length-long | private-key-seed-length-short,private-key-seed-length-short,private-key-choice-tag-mismatch | private-key-seed-length-long,covered-block
MLDSA-PRIVATE-EXPANDED-LENGTH,ML-DSA,private-key-container/import,private-key-container,pkix-core,artifact-importer,structural,must,covered,size/shape,detector.private_key.mldsa_expanded_length,implemented,deployable,block,block,block,4,1,der-mut-mldsa44-key-expanded-short,private-key-expanded-length-long | private-key-expanded-length-short | private-key-oid-expanded-length-mismatch,private-key-expanded-length-short,private-key-expanded-length-long | private-key-oid-expanded-length-mismatch,covered-block
MLDSA-PRIVATE-BOTH-CONSISTENCY,ML-DSA,private-key-container/import,private-key-container,pkix-core,artifact-importer,import-crypto,should,covered,inter-field-consistency,detector.private_key.mldsa_seed_expanded_consistency,implemented,deployable,block,block,block,4,1,der-mut-mldsa44-key-both-mismatch,private-key-both-seed-expanded-mismatch,private-key-both-seed-expanded-mismatch,,covered-block
